"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"HD 6651";"Cet";"129129";"01 07 11 -01 43 56";"STF 91";"2018";"174";314;4.3;7.43;8.56;1.13;""
"Polaris";"UMi";"308";"02 31 49 +89 15 51";"STF 93 AB";"2016";"65";236;18.4;2.04;9.10;7.06;""
"";"UMi";"308";"02 31 49 +89 15 51";"STF 93 AC";"2016";"7";103;39.0;2.04;13.80;11.76;""
"";"UMi";"308";"02 31 49 +89 15 51";"STF 93 AD";"2016";"8";194;83.2;2.04;14.30;12.26;""
"";"UMi";"305";"02 30 43 +89 15 39";"STF 93 BC";"2015";"4";83;53.1;8.60;13.80;5.20;""
"";"UMi";"305";"02 30 43 +89 15 39";"STF 93 BD";"2016";"4";179;69.3;8.60;13.90;5.30;""
"HD 6965";"Psc";"92290";"01 10 20 +16 35 31";"STF 94 AC";"2016";"36";281;20.5;10.16;10.17;0.01;""
"";"Cet";"129156";"01 10 29 -04 57 46";"STF 95";"2021";"22";311;13.9;9.58;10.53;0.95;""
"HD 7102";"Cas";"11631";"01 12 41 +65 00 33";"STF 96";"2020";"34";287;0.9;7.92;8.92;1.00;""
"HD 7114";"Cas";"22086";"01 12 19 +51 31 30";"STF 97";"2024";"41";102;4.5;8.69;9.13;0.44;""
"HD 7215";"Psc";"54514";"01 12 53 +32 04 32";"STF 98 AB";"2023";"57";249;19.6;7.02;8.14;1.12;""
"Phi Psc";"Psc";"74571";"01 13 45 +24 35 02";"STF 99 AB";"2020";"41";227;7.5;4.65;9.11;4.46;""
"";"Psc";"74571";"01 13 45 +24 35 02";"STF 99 AC";"2015";"9";173;142.4;4.65;12.74;8.09;""
"Revati";"Psc";"109739";"01 13 44 +07 34 32";"STF 100 AB";"2021";"337";63;22.8;5.22;6.26;1.04;""
"HD 7385";"Cet";"129188";"01 13 55 -07 37 21";"STF 101";"2015";"40";347;20.9;7.65;10.30;2.65;""
"";"And";"37087";"01 17 48 +49 00 30";"STF 102 AB";"2016";"85";269;0.5;7.31;9.18;1.87;""
"HD 7710";"And";"37087";"01 17 48 +49 00 30";"STF 102 AB,C";"2016";"51";223;10.2;7.19;8.79;1.60;""
"";"And";"37087";"01 17 48 +49 00 30";"STF 102 AB,D";"2016";"30";58;23.6;7.19;10.75;3.56;""
"";"And";"";"01 17 47 +49 00 23";"STF 102 CD";"2015";"13";54;33.5;8.79;10.75;1.96;""
"";"And";"";"01 17 50 +49 00 43";"STF 102 DE";"2015";"11";356;98.5;10.75;10.15;0.60;""
"HD 7687";"Cet";"129207";"01 16 42 -01 15 41";"STF 103";"2016";"20";246;5.6;8.60;11.15;2.55;""
"HD 7639";"And";"54576";"01 16 57 +38 27 39";"STF 104";"2020";"34";322;13.3;8.03;9.83;1.80;""
"HD 7757";"Cas";"11687";"01 18 58 +66 09 28";"STF 105 AB";"2020";"29";184;3.0;8.83;9.77;0.94;""
"";"Cas";"11687";"01 18 58 +66 09 28";"STF 105 AC";"2016";"6";209;213.4;8.83;11.52;2.69;""
"HD 7651";"Cet";"129202";"01 16 17 -07 08 56";"STF 106";"2020";"45";306;4.6;9.78;9.90;0.12;""
"HD 7745";"Psc";"74611";"01 17 28 +21 05 07";"STF 107";"2019";"25";69;21.1;8.82;10.69;1.87;""
"HD 7853";"And";"54592";"01 18 47 +37 23 11";"STF 108";"2017";"28";62;6.4;6.52;9.57;3.05;""
"";"Cas";"";"01 20 04 +63 53 08";"STF 109 AB";"2024";"26";9;7.2;9.86;10.54;0.68;""
"HD 7814";"Cet";"147724";"01 17 43 -12 20 42";"STF 110";"2024";"56";353;7.6;8.76;9.18;0.42;""
"";"Cet";"129218";"01 18 00 -04 20 10";"STF 111";"2019";"22";330;20.8;9.44;10.56;1.12;""
"HD 8044";"And";"37136";"01 20 44 +46 20 18";"STF 112 AB";"2024";"73";337;18.8;8.88;9.44;0.56;""
"";"And";"37135";"01 20 43 +46 20 36";"STF 112 BC";"2016";"8";189;4.7;9.44;12.00;2.56;""
"42 Cet";"Cet";"129235";"01 19 48 -00 30 32";"STF 113 A,BC";"2023";"338";21;1.6;6.45;6.99;0.54;"Y"
"HD 8226";"Cas";"4393";"01 24 08 +72 50 50";"STF 114";"2016";"22";356;3.7;7.23;9.74;2.51;""
"";"Cas";"22230";"01 23 21 +58 08 36";"STF 115 AB";"2022";"113";156;0.5;7.10;7.30;0.20;"Y"
"";"Cas";"22230";"01 23 21 +58 08 36";"STF 115 AB,C";"2016";"10";286;61.0;6.40;13.09;6.69;""
"HD 8272";"Cas";"22230";"01 23 21 +58 08 36";"STF 115 AB,D";"2016";"11";187;239.7;6.40;10.99;4.59;""
"HD 8267";"Psc";"92397";"01 22 13 +14 20 26";"STF 116";"2015";"11";110;20.2;8.16;11.80;3.64;""
"";"Cas";"11751";"01 25 59 +68 07 36";"STF 117 CD";"2021";"47";253;2.9;9.18;10.00;0.82;""
"";"Cep";"249";"01 35 09 +83 21 13";"STF 118";"2015";"70";94;15.5;9.17;10.22;1.05;""
"";"Psc";"109868";"01 24 30 +05 11 40";"STF 119";"2020";"23";149;13.7;10.12;12.30;2.18;""
"HD 8627";"Cet";"129283";"01 25 01 -05 56 47";"STF 120";"2020";"29";278;7.4;6.83;10.00;3.17;""
"";"Cas";"11766";"01 27 37 +64 28 31";"STF 121 AB";"2024";"47";267;11.8;9.53;10.22;0.69;""
"HD 8803";"Psc";"109895";"01 26 54 +03 32 08";"STF 122";"2020";"91";329;6.0;6.65;9.51;2.86;""
"HD 8845";"Cas";"22303";"01 28 20 +53 28 39";"STF 123 AB";"2024";"26";162;16.6;9.28;9.55;0.27;""
"";"Cas";"22303";"01 28 20 +53 28 39";"STF 123 AC";"2018";"12";179;53.4;9.28;11.04;1.76;""
"";"Cas";"22304";"01 28 20 +53 28 23";"STF 123 BC";"2018";"15";186;37.9;9.55;11.04;1.49;""
"";"Cas";"";"01 28 20 +53 27 45";"STF 123 CD";"2018";"15";75;8.7;11.04;12.20;1.16;""
"HD 8766";"Cet";"147808";"01 26 17 -13 53 37";"STF 124";"2016";"23";233;7.2;8.41;9.61;1.20;""
"";"Cet";"";"01 27 02 -00 09 27";"STF 125 AB";"2015";"58";330;90.4;8.02;10.53;2.51;""
"";"Psc";"74745";"01 29 17 +25 01 27";"STF 126 AB";"2015";"18";211;41.8;8.77;10.33;1.56;""
"";"Psc";"";"01 29 15 +25 00 51";"STF 126 BC";"2015";"14";246;21.4;10.33;12.73;2.40;""
"HD 9341";"Cep";"4440";"01 36 26 +79 09 17";"STF 127";"2015";"29";190;23.4;8.75;9.96;1.21;""
"HD 9145";"Cas";"11798";"01 31 41 +61 02 34";"STF 128";"2024";"19";310;10.9;8.10;10.41;2.31;""
"HD 9148";"Psc";"92468";"01 30 17 +12 38 58";"STF 129";"2020";"50";282;8.9;9.71;10.25;0.54;""
"HD 9382";"Cas";"11835";"01 34 46 +69 54 02";"STF 130";"2020";"34";187;7.4;9.02;10.40;1.38;""
"HD 9311";"Cas";"11822";"01 33 14 +60 41 11";"STF 131 AB";"2024";"37";143;14.1;7.30;9.90;2.60;""
"";"Cas";"11822";"01 33 14 +60 41 11";"STF 131 AC";"2021";"15";145;28.3;7.28;11.80;4.52;""
"";"Cas";"";"01 33 15 +60 41 00";"STF 131 BC";"2018";"16";148;14.2;9.90;11.80;1.90;""
"HD 9312";"Psc";"92492";"01 32 03 +16 56 50";"STF 132 AB";"2015";"59";342;63.8;6.88;10.61;3.73;""
"";"Psc";"92492";"01 32 03 +16 56 50";"STF 132 AC";"2015";"24";249;67.7;6.89;11.59;4.70;""
"";"Psc";"92492";"01 32 03 +16 56 50";"STF 132 AD";"2016";"18";109;114.3;6.88;11.44;4.56;""
"";"Psc";"92492";"01 32 03 +16 56 50";"STF 132 AE";"2016";"4";307;11.0;6.88;14.10;7.22;""
"";"Psc";"";"01 32 11 +16 56 11";"STF 132 DF";"2017";"15";289;5.2;11.44;12.60;1.16;""
