"name";"cst";"SAO";"coord";"wds_name";"last";"obs";"pa";"sep";"m1";"m2";"d_mag";"orb"
"HD 794";"And";"36154";"00 12 26 +45 57 35";"HDS 27 AB";"2014";"2";132;0.2;8.66;9.89;1.23;""
"HD 800";"And";"36157";"00 12 34 +44 42 26";"HDS 28";"2016";"7";38;0.8;6.64;9.72;3.08;""
"HD 821";"Cet";"147148";"00 12 33 -11 41 35";"RST 3343";"2021";"15";269;0.3;8.98;8.98;0.00;"Y"
"Gam Peg";"Peg";"91781";"00 13 14 +15 11 01";"BUP 3 AB";"2013";"9";286;164.1;2.80;12.66;9.86;""
"HD 890";"Cet";"147153";"00 13 14 -17 11 05";"HJ 1944";"2015";"21";335;66.4;7.69;9.03;1.34;""
"HD 871";"Cas";"21217";"00 13 16 +51 49 59";"ES 748";"2021";"9";359;10.0;8.05;12.20;4.15;""
"HD 884";"And";"53732";"00 13 19 +40 13 14";"ES 152";"2021";"14";106;7.5;8.98;12.50;3.52;""
"HD 899";"Cet";"166126";"00 13 18 -20 37 08";"B 1905";"2016";"5";110;3.1;7.51;12.00;4.49;""
"";"And";"73823";"00 13 24 +26 59 15";"STT 2 AB";"2021";"169";154;0.5;6.77;7.67;0.90;"Y"
"HD 919";"Cep";"4062";"00 14 03 +76 01 37";"STTA 1";"2018";"35";103;73.2;7.39;7.81;0.42;""
"HD 1002";"Scl";"166137";"00 14 20 -27 31 52";"HDS 33";"2023";"20";167;0.1;7.93;8.88;0.95;"Y"
"HD 236348";"Cas";"11057";"00 14 21 +60 20 30";"A 902";"2012";"11";140;0.2;8.73;11.13;2.40;""
"HD 982";"And";"";"00 14 24 +43 50 45";"A 1255";"2016";"16";350;4.3;8.37;10.49;2.12;""
"HD 1015";"Cet";"147167";"00 14 28 -14 25 53";"GAL 296";"2015";"9";101;24.0;7.00;11.00;4.00;""
"AD Cet";"Cet";"128655";"00 14 28 -07 46 50";"BU 486";"2015";"18";2;2.8;5.33;11.40;6.07;""
"HD 992";"Cas";"21235";"00 14 36 +53 49 39";"HLD 1";"2021";"18";13;2.4;8.32;11.20;2.88;""
"HD 994";"And";"36191";"00 14 35 +44 51 54";"A 646 AB";"2016";"12";46;2.4;8.70;11.40;2.70;""
"HD 1036";"Cet";"147171";"00 14 41 -12 44 54";"HDO 7";"2015";"13";6;6.5;8.11;11.15;3.04;""
"HD 1026";"Cas";"11062";"00 14 49 +62 50 26";"STF 10 AB";"2022";"49";176;17.6;8.04;8.55;0.51;""
"";"Cas";"11062";"00 14 49 +62 50 26";"STF 10 AC";"2015";"11";103;55.4;8.04;11.10;3.06;""
"HD 1033";"And";"36195";"00 14 54 +46 48 13";"LDS 3142";"2015";"14";119;84.2;8.72;11.48;2.76;""
"HD 1050";"Psc";"147175";"00 14 50 -00 18 11";"BAL 642";"2016";"13";59;6.9;8.17;11.81;3.64;""
"HD 1059";"Peg";"73839";"00 14 56 +21 32 32";"BU 1027";"2015";"34";192;1.7;7.28;10.54;3.26;""
"35 Psc";"Scl";"192417";"00 14 53 -32 09 10";"B 1024";"2021";"15";60;0.3;8.66;8.90;0.24;"Y"
"";"Cas";"11067";"00 15 01 +66 06 50";"HDS 34";"1991";"1";194;0.1;8.66;9.49;0.83;""
"35 Psc";"Psc";"109087";"00 14 59 +08 49 16";"STF 12";"2019";"175";148;11.2;6.06;7.51;1.45;""
"HD 1007";"Cep";"4069";"00 15 11 +78 01 02";"STF 11";"2020";"30";194;8.0;8.48;10.14;1.66;""
"HD 1070";"Cas";"21249";"00 15 13 +59 46 45";"HJ 1008 AB";"2015";"19";125;21.8;8.12;11.31;3.19;""
"";"Cas";"21249";"00 15 13 +59 46 45";"ABH 2 AD";"2015";"14";147;78.8;8.12;13.20;5.08;""
"";"Cas";"21249";"00 15 13 +59 46 45";"ABH 2 AE";"2016";"10";58;106.4;8.12;14.02;5.90;""
"";"Cas";"21249";"00 15 13 +59 46 45";"ABH 2 AF";"2015";"10";341;58.7;8.12;14.10;5.98;""
"";"Cas";"21249";"00 15 13 +59 46 45";"ES 1 AC";"2015";"7";152;22.0;8.12;13.60;5.48;""
"";"And";"73842";"00 15 11 +27 17 00";"KUI 2";"2015";"6";142;29.0;6.35;12.90;6.55;""
"HD 1106";"Phe";"215020";"00 15 14 -42 06 12";"B 1407";"2016";"3";75;1.2;9.00;12.50;3.50;""
"";"And";"36202";"00 15 18 +44 12 12";"A 1256 AB";"1999";"61";223;0.0;7.30;7.50;0.20;"Y"
"HD 1116";"Phe";"215021";"00 15 15 -40 05 46";"WG 2";"2015";"11";2;13.9;7.61;9.69;2.08;""
"HD 1154";"Cet";"147186";"00 15 49 -11 59 25";"STF 14";"2016";"26";237;14.5;8.90;10.85;1.95;""
"HD 1153";"Psc";"128668";"00 15 52 -05 36 04";"STF 15";"2020";"36";200;4.7;7.71;9.83;2.12;""
"HD 1199";"Tuc";"248146";"00 16 02 -67 53 58";"HJ 3357";"2016";"11";337;9.9;8.49;11.61;3.12;""
"HD 1169";"Psc";"109096";"00 16 05 +08 06 56";"BU 1342";"2016";"8";146;6.1;7.63;12.50;4.87;""
"";"Scl";"192430";"00 16 09 -31 26 47";"LDS 2106";"2016";"6";192;63.4;5.67;17.00;11.33;""
"HD 1141";"Cep";"4071";"00 16 14 +76 57 03";"STF 13";"2023";"208";46;1.0;7.03;7.12;0.09;"Y"
"HD 1185";"And";"36221";"00 16 22 +43 35 42";"HJ 1947 AB";"2024";"40";76;8.6;6.16;9.83;3.67;""
"";"And";"36221";"00 16 22 +43 35 42";"WAL 5 AC";"2015";"7";14;76.4;6.16;11.35;5.19;""
"";"And";"36221";"00 16 22 +43 35 42";"WAL 5 AD";"2015";"3";43;99.5;6.16;11.35;5.19;""
"";"Cet";"166160";"00 16 23 -22 35 16";"HDS 36 Aa,Ab";"2023";"10";171;0.1;8.24;9.96;1.72;"Y"
