name,x,y,z,mag
268G Aqr,0.98025048,-0.06940546,-0.18518068,5.8
269G Aqr,0.96317762,-0.06685925,-0.26042025,6.0
i3 Aqr,0.93999399,-0.06202238,-0.33550638,5.1
271G Aqr,0.96438135,-0.05870252,-0.25791981,6.2
272G Aqr,0.94234387,-0.05674206,-0.32980049,7.0
273G Aqr,0.98399291,-0.05845995,-0.16834601,5.6
274G Aqr,0.90538764,-0.05187403,-0.42140517,6.3
275G Aqr,0.98311888,-0.04879921,-0.17634033,6.8
276G Aqr,0.96989849,-0.04510306,-0.23929611,7.0
1G Aql,0.16726432,-0.98587372,-0.00869745,7.0
4 Aql,0.16717510,-0.98534786,0.03379477,5.5
5 Aql,0.17368826,-0.98461638,-0.01905202,6.2
4G Aql,0.18758174,-0.98217374,0.01215883,6.6
8 Aql,0.19388030,-0.97916705,-0.06035170,6.5
6G Aql,0.21581648,-0.97583578,-0.03417271,6.6
7G Aql,0.22488334,-0.96861193,0.10591698,6.6
8G Aql,0.22727146,-0.95831253,0.17316116,6.8
i Aql,0.23642113,-0.96617343,-0.10302401,3.8
10G Aql,0.23610329,-0.95315736,-0.18906688,6.8
g Aql,0.24277563,-0.96772160,-0.06763801,5.7
12G Aql,0.24091895,-0.96002494,0.14251377,6.8
13G Aql,0.24696828,-0.96860084,0.02861949,6.3
14G Aql,0.24972130,-0.96676064,0.05489209,7.0
h Aql,0.25124721,-0.96512833,-0.07349929,5.6
16G Aql,0.25378709,-0.96680595,-0.02963717,6.8
17G Aql,0.25190615,-0.95370734,-0.16427293,6.9
18G Aql,0.25218800,-0.95252965,-0.17055346,6.8
lambda Aql,0.25619742,-0.96257896,-0.08834378,3.3
20G Aql,0.25596848,-0.96031380,0.11080403,7.0
21G Aql,0.25921767,-0.96544737,-0.02678760,7.0
R Aql,0.25773429,-0.95603500,0.13989321,0.0
23G Aql,0.26211092,-0.96500579,0.00785390,6.7
19 Aql,0.26952571,-0.95753161,0.10241638,5.7
25G Aql,0.27324340,-0.96188275,-0.01093718,6.6
26G Aql,0.27472606,-0.95415417,-0.11880834,7.0
27G Aql,0.27849586,-0.95651162,0.08675004,7.0
20 Aql,0.28073505,-0.94926645,-0.14170755,5.9
21 Aql,0.28974506,-0.95641323,0.03635301,5.7
