name,x,y,z,mag
U 456,0.78483541,0.16185484,0.59819428,6.2
U 457,0.88993454,0.18324584,-0.41765713,6.5
U 458,0.97888671,0.20191197,-0.03181758,4.9
U 459,0.97638814,0.20249632,0.07524259,9.5
U 460,0.97637101,0.20250838,0.07543210,9.5
U 461,0.97741266,0.20280710,0.05944563,7.0
U 462,0.83897315,0.17398421,-0.51560988,6.1
U 463,0.96795855,0.20131935,0.15008921,8.7
U 464,0.97873784,0.20353992,-0.02537220,9.0
U 465,0.97798557,0.20358890,0.04577966,8.2
U 466,0.88392597,0.18414195,-0.42984488,6.4
U 467,0.88393512,0.18415727,-0.42981949,8.5
U 468,0.97473539,0.20330885,0.09250098,8.8
U 469,0.97861576,0.20457202,0.02148230,8.8
U 470,0.02809215,0.00617869,0.99958624,6.0
U 471,0.96254506,0.20161104,0.18127328,8.5
U 472,0.76712143,0.16089381,0.62099750,7.2
U 473,0.97225660,0.20376183,0.11488347,8.0
U 474,0.51424610,0.10835680,0.85077009,5.5
U 475,0.97825931,0.20603492,0.02362903,9.0
U 476,0.76586020,0.16183877,0.62230729,8.6
U 477,0.76578923,0.16182731,0.62239761,8.1
U 478,0.92680654,0.19607057,-0.32029045,9.1
U 479,0.92653417,0.19665177,-0.32072186,8.8
U 480,0.96497722,0.20505042,-0.16362547,5.5
U 481,0.82017887,0.17452645,-0.54483680,7.5
U 482,0.97700304,0.20962893,-0.03899697,8.8
U 483,0.97170197,0.21028826,0.10758314,8.0
U 484,0.97667198,0.21133739,-0.03805718,8.7
U 485,0.97693288,0.21167863,0.02818348,9.5
U 486,0.93126180,0.20223077,-0.30307455,7.4
U 487,0.48795224,0.10634710,0.86636765,3.0
U 488,0.97677406,0.21240220,0.02824432,9.0
U 489,0.97675540,0.21281266,-0.02568378,9.5
U 490,0.88300322,0.19277354,-0.42795288,6.5
U 491,0.97366922,0.21292594,-0.08142967,8.0
U 492,0.97655048,0.21375010,-0.02569135,8.7
U 493,0.97370422,0.21441553,-0.07698095,7.3
U 494,0.77134566,0.17035834,0.61319158,4.0
U 495,0.95538484,0.21073581,-0.20695466,6.0
