CROSS_NORTH - Compare several catalogs.
250) Warning: WB 7h 328 is ALONE (nearest PPM star at 60.7 arcsec).
251) Warning: WB 7h 454 is ALONE (nearest PPM star at 187.7 arcsec).
252) Warning: WB 7h 483 is ALONE (nearest PPM star at 588.6 arcsec).
253) Warning: WB 7h 503 is ALONE (nearest PPM star at 163.7 arcsec).
254) Warning: WB 7h 507 is ALONE (nearest PPM star at 181.8 arcsec).
255) Warning: WB 7h 528 is ALONE (nearest PPM star at 91.3 arcsec).
256) Warning: WB 7h 556 is ALONE (nearest PPM star at 151.7 arcsec).
257) Warning: WB 7h 676 is ALONE (nearest PPM star at 380.2 arcsec).
258) Warning: WB 7h 677 is ALONE (nearest PPM star at 373.6 arcsec).
259) Warning: WB 7h 749 is ALONE (nearest PPM star at 437.4 arcsec).
260) Warning: WB 7h 762 is ALONE (nearest PPM star at 147.1 arcsec).
261) Warning: WB 7h 782 is ALONE (nearest PPM star at 219.1 arcsec).
262) Warning: WB 7h 848 is ALONE (nearest PPM star at 60.4 arcsec).
263) Warning: WB 7h 983 is ALONE (nearest PPM star at 828.2 arcsec).
264) Warning: WB 7h 985 is ALONE (nearest PPM star at 202.1 arcsec).
265) Warning: WB 7h 1048 is ALONE (nearest PPM star at 584.2 arcsec).
