index1,index2,dist
A Cap,CD -25°15235,12.08
84G Cap,CD -27°15377,24.58
85G Cap,CD -26°15541,48.07
87G Cap,CD -23°16877,27.68
88G Cap,CD -25°15399,19.74
89G Cap,CD -23°16889,38.08
91G Cap,CD -24°16624,14.51
92G Cap,CD -24°16641,7.27
zeta Cap,CD -22°15388,24.00
b Cap,CD -22°15402,21.66
103G Cap,CD -25°15479,48.17
107G Cap,CD -24°16729,24.62
41 Cap,CD -23°17057,9.11
127G Cap,CD -23°17135,30.28
1G Car,CD -51°1806,6.00
2G Car,CD -52°1520,48.00
3G Car,CD -53°1442,6.07
4G Car,CD -51°1874,0.94
5G Car,CD -53°1466,6.58
6G Car,CD -52°1540,30.01
alpha Car,CD -52°1541,18.21
8G Car,CD -52°1545,72.05
9G Car,CD -51°1946,12.14
10G Car,CD -52°1593,5.51
N Car,CD -52°1600,9.41
12G Car,CD -54°1533,30.61
13G Car,CD -54°1534,12.76
14G Car,CD -52°1672,1.84
15G Car,CD -51°2078,6.29
16G Car,CD -54°1552,48.03
O Car,CD -55°1560,6.00
A Car,CD -53°1613,12.13
19G Car,CD -53°1627,12.13
20G Car,CD -59°1433,18.07
21G Car,CD -55°1628,12.47
22G Car,CD -56°1707,6.87
23G Car,CD -51°2224,18.86
24G Car,CD -58°1607,24.11
25G Car,CD -52°1799,30.06
26G Car,CD -58°1617,6.75
27G Car,CD -56°1736,2.48
P Car,CD -51°2306,6.00
29G Car,CD -52°1829,18.21
30G Car,CD -59°1502,12.84
31G Car,CD -55°1720,18.18
32G Car,CD -57°1667,18.02
33G Car,CD -53°1774,12.00
34G Car,CD -62°282,0.00
35G Car,CD -52°1885,24.84
36G Car,CD -58°1696,18.27
37G Car,CD -57°1693,0.80
38G Car,CD -52°1934,19.12
39G Car,CD -52°1934,30.13
40G Car,CD -51°2445,12.00
41G Car,CD -56°1833,12.03
42G Car,CD -61°1623,6.04
43G Car,CD -58°1741,24.82
44G Car,CD -50°2761,60.12
45G Car,CD -51°2507,12.15
46G Car,CD -57°1748,6.21
47G Car,CD -52°2000,30.13
48G Car,CD -54°1811,7.44
49G Car,CD -51°2571,6.00
Q Car,CD -52°2044,24.28
51G Car,CD -55°1866,6.78
52G Car,CD -52°2061,18.20
53G Car,CD -54°1887,7.42
54G Car,CD -54°1895,12.75
55G Car,CD -58°1839,12.63
56G Car,CD -57°1845,6.21
57G Car,CD -56°1983,12.11
58G Car,CD -54°1930,12.50
59G Car,CD -56°2005,6.50
60G Car,CD -56°2011,18.48
61G Car,CD -59°1725,12.09
62G Car,CD -54°1966,0.88
63G Car,CD -52°2187,18.82
64G Car,CD -56°2044,18.00
chi Car,CD -52°2203,12.14
66G Car,CD -60°1920,24.29
67G Car,CD -58°1926,12.00
68G Car,CD -51°2784,9.63
69G Car,CD -59°1773,18.25
70G Car,CD -62°322,0.00
71G Car,CD -60°1992,13.07
72G Car,CD -59°1789,18.06
73G Car,CD -60°2005,13.08
74G Car,CD -53°2101,6.56
75G Car,CD -54°2027,6.06
76G Car,CD -55°2041,12.48
D1 Car,CD -63°372,19.23
78G Car,CD -52°2244,12.31
D2 Car,CD -62°330,24.98
80G Car,CD -55°2087,12.12
D3 Car,CD -63°386,23.43
B Car,CD -60°2088,12.35
83G Car,CD -59°1854,12.60
C Car,CD -62°337,12.00
85G Car,CD -63°394,20.75
86G Car,CD -58°2051,7.60
87G Car,CD -57°2085,7.22
88G Car,CD -63°404,13.72
epsilon Car,CD -59°1926,18.41
90G Car,CD -54°2207,12.48
91G Car,CD -55°2179,7.91
92G Car,CD -54°2229,6.00
93G Car,CD -53°2306,6.00
94G Car,CD -54°2245,6.93
e1 Car,CD -57°2186,15.88
e2 Car,CD -57°2187,14.01
97G Car,CD -62°352,19.29
98G Car,CD -57°2235,12.00
d Car,CD -59°2020,20.21
100G Car,CD -55°2302,6.00
101G Car,CD -61°2017,42.40
102G Car,CD -58°2242,24.00
f Car,CD -56°2441,9.98
104G Car,CD -57°2328,12.11
105G Car,CD -56°2493,12.26
106G Car,CD -59°2136,6.41
107G Car,CD -57°2362,2.40
c Car,CD -60°2393,18.74
b1 Car,CD -58°2347,2.33
b2 Car,CD -58°2377,24.62
111G Car,CD -60°2439,20.84
112G Car,CD -57°2444,0.81
113G Car,CD -63°450,18.00
114G Car,CD -56°2612,12.00
E Car,CD -70°575,11.87
G Car,CD -72°504,9.22
a Car,CD -58°2476,18.02
118G Car,CD -57°2514,6.47
