index1,index2,dist
USNO 2069,CD -24°2530,9.24
USNO 2071,CD -23°2115,12.21
USNO 2073,CD -30°1968,5.46
USNO 2074,CD -39°1601,19.44
USNO 2076,CD -27°1869,7.44
USNO 2078,CD -28°1712,25.82
USNO 2081,CD -28°1729,10.87
USNO 2083,CD -25°2044,17.18
USNO 2091,CD -28°1735,24.64
USNO 2096,CD -26°1842,4.38
USNO 2098,CD -36°1879,1.80
USNO 2100,CD -29°1874,9.10
USNO 2102,CD -29°1876,32.24
USNO 2111,CD -34°1893,4.33
USNO 2112,CD -35°1940,24.73
USNO 2118,CD -23°2196,27.71
USNO 2119,CD -35°1948,4.38
USNO 2121,CD -27°1930,37.08
USNO 2125,CD -25°2080,38.22
USNO 2129,CD -38°1762,11.68
USNO 2134,CD -35°1962,16.19
USNO 2136,CD -34°1921,15.88
USNO 2137,CD -38°1774,41.11
USNO 2140,CD -30°2051,40.74
USNO 2145,CD -38°1781,5.32
USNO 2150,CD -26°1896,1.33
USNO 2151,CD -25°2110,20.24
USNO 2153,CD -29°1943,17.53
USNO 2154,CD -38°1790,26.77
USNO 2159,CD -23°2267,22.08
USNO 2160,CD -25°2115,10.78
USNO 2161,CD -27°1968,12.07
USNO 2163,CD -23°2274,2.03
USNO 2164,CD -39°1697,10.55
USNO 2165,CD -25°2123,21.63
USNO 2166,CD -39°1699,18.50
USNO 2178,CD -35°2023,10.33
USNO 2179,CD -29°1978,20.16
USNO 2181,CD -28°1879,14.93
USNO 2184,CD -32°2078,8.60
USNO 2185,CD -25°2148,6.88
USNO 2187,CD -28°1886,15.72
USNO 2188,CD -37°1977,9.49
USNO 2189,CD -29°1992,24.44
USNO 2190,CD -29°1993,11.95
USNO 2201,CD -31°2152,15.07
USNO 2202,CD -31°2156,5.99
USNO 2204,CD -26°1975,19.61
USNO 2207,CD -31°2161,4.30
USNO 2208,CD -39°1744,36.21
USNO 2213,CD -24°2795,14.49
USNO 2214,CD -27°2045,9.56
USNO 2216,CD -35°2089,10.19
USNO 2219,CD -22°1997,12.92
USNO 2222,CD -26°2005,15.08
USNO 2223,CD -23°2392,51.44
USNO 2225,CD -26°2013,17.40
USNO 2229,CD -28°1965,24.48
USNO 2231,CD -28°1970,46.89
