index1,index2,dist
G 607,PPM 352239,0.61
G 608,PPM 376011,0.59
G 609,PPM 367165,1.13
G 610,PPM 367170,2.23
G 611,PPM 352237,1.26
G 612,PPM 367179,1.51
G 613,PPM 352241,0.45
G 614,PPM 367182,2.88
G 615,PPM 352246,2.56
G 616,PPM 352240,3.77
G 617,PPM 367167,3.20
G 618,PPM 352247,1.64
G 619,PPM 367172,2.00
G 620,PPM 367185,1.23
G 621,PPM 775222,2.62
G 622,PPM 352248,1.26
G 623,PPM 367176,0.48
G 624,PPM 352258,0.94
G 625,PPM 376021,0.97
G 626,PPM 352253,3.43
G 627,PPM 352259,2.68
G 628,PPM 352261,1.47
G 629,PPM 367188,2.83
G 630,PPM 367188,2.77
G 631,PPM 367189,2.29
G 632,PPM 376020,3.41
G 633,PPM 352262,3.51
G 634,PPM 352263,2.96
G 635,PPM 367184,0.59
G 636,PPM 376016,1.55
G 637,PPM 367196,2.35
G 638,PPM 367181,0.65
G 639,PPM 367194,4.04
G 640,PPM 367195,3.67
G 641,PPM 367190,1.53
G 642,PPM 367186,0.63
G 643,PPM 352270,1.18
G 644,PPM 376026,1.77
G 645,PPM 376022,0.99
G 646,PPM 367197,0.75
G 647,PPM 352280,1.92
G 648,PPM 352281,1.50
G 649,PPM 367192,2.42
G 650,PPM 376027,5.40
G 651,PPM 367205,3.42
G 652,PPM 367199,1.28
G 654,PPM 367206,3.79
G 655,PPM 367203,5.30
G 656,PPM 367209,0.60
G 657,PPM 367204,1.51
G 658,PPM 352290,6.00
G 659,PPM 376033,2.49
G 660,PPM 367212,1.12
G 661,PPM 376030,3.25
G 662,PPM 352293,2.73
G 663,PPM 376012,2.82
G 664,PPM 783746,1.13
G 665,PPM 376035,0.81
G 666,PPM 352296,3.00
G 667,PPM 367200,1.84
G 668,PPM 367211,1.88
G 669,PPM 376028,2.61
G 670,PPM 352298,2.37
G 671,PPM 352298,8.00
G 672,PPM 367214,1.58
G 673,PPM 352302,1.61
G 674,PPM 352304,0.76
G 675,PPM 788443,8.57
G 676,PPM 375953,1.37
G 677,PPM 376034,2.48
G 678,PPM 352308,0.79
