index1,index2,dist
USNO 432,PPM 243285,0.37
USNO 433,PPM 174798,1.63
USNO 434,PPM 143951,1.44
USNO 435,PPM 243294,0.88
USNO 436,PPM 209360,5.99
USNO 437,PPM 143963,1.22
USNO 438,PPM 143969,2.03
USNO 439,PPM 65696,0.55
USNO 440,PPM 143975,1.02
USNO 441,PPM 143981,1.16
USNO 442,PPM 174803,1.27
USNO 443,PPM 143985,3.45
USNO 444,PPM 143989,1.20
USNO 445,PPM 174805,1.32
USNO 446,PPM 143995,1.52
USNO 447,PPM 276439,2.35
USNO 448,PPM 12540,0.86
USNO 449,PPM 116837,1.35
USNO 450,PPM 65723,0.89
USNO 451,PPM 65725,1.81
USNO 452,PPM 116844,1.64
USNO 453,PPM 144008,1.75
USNO 454,PPM 144010,1.25
USNO 455,PPM 65729,1.53
USNO 456,PPM 65736,1.79
USNO 457,PPM 243345,3.30
USNO 458,PPM 174810,0.41
USNO 459,PPM 144026,38.14
USNO 460,PPM 144026,3.55
USNO 461,PPM 144027,1.52
USNO 462,PPM 276466,1.87
USNO 463,PPM 144030,2.35
USNO 464,PPM 174811,1.11
USNO 465,PPM 144029,0.43
USNO 466,PPM 243352,1.70
USNO 467,PPM 243352,8.09
USNO 468,PPM 144033,2.82
USNO 469,PPM 144034,0.28
USNO 470,PPM 280,1.65
USNO 471,PPM 116869,0.77
USNO 472,PPM 65748,1.72
USNO 473,PPM 144036,2.95
USNO 474,PPM 25833,1.18
USNO 475,PPM 144039,1.67
USNO 476,PPM 65754,1.48
USNO 477,PPM 65753,0.64
USNO 478,PPM 209459,3.37
USNO 479,PPM 209462,2.60
USNO 480,PPM 182801,1.22
USNO 481,PPM 276484,0.47
USNO 482,PPM 174814,1.46
USNO 483,PPM 144057,0.27
USNO 484,PPM 174815,0.70
USNO 485,PPM 144058,30.43
USNO 486,PPM 209480,2.31
USNO 487,PPM 12597,1.94
USNO 488,PPM 144061,1.32
USNO 489,PPM 174817,197.87
USNO 490,PPM 243396,0.47
USNO 491,PPM 182830,0.97
USNO 492,PPM 174817,0.86
USNO 493,PPM 182839,1.61
USNO 494,PPM 65785,0.95
USNO 495,PPM 209500,1.14
USNO 496,PPM 243404,1.33
USNO 497,PPM 243410,0.89
USNO 499,PPM 90327,1.71
USNO 500,PPM 144082,1.32
USNO 501,PPM 243421,2.07
USNO 502,PPM 208,0.89
USNO 503,PPM 65806,1.18
USNO 504,PPM 65810,1.50
USNO 505,PPM 144095,1.39
USNO 506,PPM 116929,2.19
USNO 507,PPM 144102,2.11
USNO 508,PPM 144103,1.71
USNO 509,PPM 65820,1.10
USNO 510,PPM 144113,3.85
USNO 511,PPM 243443,0.84
USNO 512,PPM 144122,1.79
USNO 513,PPM 209561,0.10
USNO 514,PPM 209560,0.40
USNO 515,PPM 144124,0.31
USNO 516,PPM 243446,0.98
USNO 517,PPM 144133,1.33
USNO 518,PPM 144136,1.24
USNO 519,PPM 174827,0.97
USNO 520,PPM 144137,3.03
USNO 521,PPM 65849,0.31
USNO 522,PPM 144139,0.41
USNO 523,PPM 276570,0.94
USNO 524,PPM 144146,1.02
USNO 525,PPM 144147,2.19
USNO 526,PPM 144158,1.12
