index1,index2,dist
GC 575,CPD -76°68,7.85
GC 576,CPD -66°43,3.93
GC 577,CPD -26°51,8.27
GC 578,CPD -53°135,7.29
GC 579,CPD -36°66,5.62
GC 580,CPD -36°67,2.35
GC 581,CPD -54°150,7.58
GC 582,CPD -43°65,8.23
GC 583,CPD -42°61,8.12
GC 584,CPD -53°136,2.79
GC 585,CPD -53°137,4.17
GC 586,CPD -43°68,11.32
GC 587,CPD -57°133,1.21
GC 588,CPD -28°48,6.90
GC 589,CPD -26°53,2.67
GC 590,CPD -53°138,4.68
GC 591,CPD -30°68,0.55
GC 593,CPD -58°39,2.15
GC 594,CPD -74°53,3.11
GC 595,CPD -24°58,6.81
GC 596,CPD -74°54,4.02
GC 597,CPD -25°72,4.69
GC 598,CPD -42°62,9.30
GC 599,CPD -73°42,1.29
GC 600,CPD -38°50,5.83
GC 601,CPD -34°56,11.37
GC 602,CPD -45°73,3.71
GC 603,CPD -26°55,10.15
GC 604,CPD -39°42,4.96
GC 605,CPD -69°19,5.30
GC 606,CPD -69°19,3.07
GC 608,CPD -24°60,4.48
GC 609,CPD -52°74,6.50
GC 610,CPD -27°49,6.40
GC 611,CPD -33°70,5.51
GC 613,CPD -27°50,12.60
GC 614,CPD -30°71,2.50
GC 615,CPD -31°70,7.64
GC 616,CPD -30°72,1.91
GC 618,CPD -56°129,4.18
GC 619,CPD -41°72,6.17
GC 620,CPD -39°43,8.99
GC 621,CPD -53°145,3.67
GC 622,CPD -74°55,1.38
GC 623,CPD -20°71,2.04
GC 624,CPD -34°59,8.62
GC 625,CPD -25°75,1.79
GC 626,CPD -46°63,5.15
GC 627,CPD -66°46,5.72
GC 628,CPD -25°76,10.65
GC 629,CPD -68°25,11.66
GC 630,CPD -44°83,1.58
GC 632,CPD -43°76,3.40
GC 633,CPD -57°143,3.13
GC 634,CPD -23°77,6.04
GC 635,CPD -81°9,1.92
GC 636,CPD -53°153,2.92
GC 637,CPD -56°132,5.80
GC 638,CPD -56°132,9.30
GC 639,CPD -85°7,6.00
GC 640,CPD -20°75,5.06
GC 642,CPD -36°78,2.99
GC 643,CPD -49°96,8.77
GC 645,CPD -39°46,4.02
GC 646,CPD -83°10,3.62
GC 647,CPD -54°159,1.07
GC 648,CPD -54°160,7.80
GC 649,CPD -74°56,7.90
GC 651,CPD -56°133,6.98
GC 652,CPD -60°48,8.33
GC 653,CPD -66°47,0.58
GC 654,CPD -38°54,6.66
GC 655,CPD -74°58,0.53
GC 658,CPD -66°50,2.46
GC 659,CPD -45°81,7.52
GC 660,CPD -44°89,4.09
GC 662,CPD -58°42,10.15
GC 663,CPD -38°55,3.98
GC 665,CPD -22°74,5.88
GC 666,CPD -39°49,9.95
GC 667,CPD -27°56,2.72
GC 668,CPD -50°104,1.93
GC 669,CPD -22°77,6.98
GC 670,CPD -50°105,6.00
GC 671,CPD -32°74,7.40
GC 672,CPD -43°83,7.32
GC 674,CPD -53°168,2.99
GC 676,CPD -54°164,3.22
GC 677,CPD -54°165,5.53
GC 678,CPD -86°8,3.31
GC 679,CPD -74°59,10.43
GC 680,CPD -38°57,8.09
GC 681,CPD -43°85,11.07
GC 682,CPD -28°58,7.29
GC 684,CPD -63°72,5.21
GC 686,CPD -54°166,9.40
GC 687,CPD -66°53,12.49
GC 689,CPD -28°60,6.50
GC 690,CPD -74°60,2.34
GC 691,CPD -49°104,7.44
GC 692,CPD -63°73,1.44
GC 693,CPD -71°26,7.08
GC 694,CPD -43°86,2.38
GC 695,CPD -74°61,9.29
GC 696,CPD -31°78,8.34
GC 697,CPD -42°68,5.74
GC 698,CPD -42°68,3.81
GC 699,CPD -55°149,3.77
GC 700,CPD -86°9,2.67
GC 701,CPD -31°79,4.87
GC 702,CPD -48°82,1.61
GC 703,CPD -48°83,4.70
GC 704,CPD -23°86,6.25
GC 705,CPD -38°59,8.02
GC 706,CPD -58°45,4.31
GC 707,CPD -29°76,4.34
GC 708,CPD -33°81,3.07
GC 709,CPD -33°82,5.96
GC 710,CPD -30°79,6.03
GC 711,CPD -30°80,8.25
GC 712,CPD -36°84,7.59
GC 713,CPD -78°21,9.06
GC 714,CPD -24°73,3.46
GC 715,CPD -58°47,9.71
GC 716,CPD -63°75,3.91
GC 717,CPD -39°51,8.94
GC 718,CPD -54°174,11.06
GC 719,CPD -58°48,5.50
GC 720,CPD -52°90,5.14
GC 721,CPD -74°63,8.41
GC 722,CPD -26°66,7.29
GC 723,CPD -31°82,2.10
GC 724,CPD -26°67,4.21
GC 727,CPD -37°73,8.95
GC 728,CPD -33°83,2.98
GC 729,CPD -32°82,5.32
GC 730,CPD -73°46,5.21
GC 731,CPD -22°85,11.09
GC 732,CPD -30°83,5.58
GC 733,CPD -27°62,3.96
GC 734,CPD -38°62,4.99
GC 735,CPD -27°64,4.36
GC 736,CPD -40°76,3.20
GC 737,CPD -29°78,3.29
GC 738,CPD -29°79,5.18
GC 739,CPD -24°76,1.69
GC 740,CPD -25°89,7.46
GC 741,CPD -54°180,6.50
GC 742,CPD -36°87,14.36
GC 743,CPD -24°78,6.15
GC 744,CPD -49°112,3.71
GC 745,CPD -47°89,13.41
GC 747,CPD -43°92,2.42
GC 748,CPD -23°95,4.94
GC 749,CPD -24°80,5.20
GC 751,CPD -61°37,4.98
GC 753,CPD -54°183,2.49
GC 754,CPD -61°38,4.12
GC 755,CPD -22°89,5.00
GC 756,CPD -24°81,4.44
GC 758,CPD -54°186,10.88
GC 759,CPD -44°101,5.61
GC 760,CPD -41°80,5.85
GC 761,CPD -28°69,10.33
GC 762,CPD -75°64,3.71
GC 763,CPD -58°51,9.33
GC 764,CPD -28°70,8.35
GC 766,CPD -47°93,7.70
GC 767,CPD -42°77,2.55
GC 768,CPD -74°68,7.95
GC 769,CPD -51°132,5.52
GC 772,CPD -72°67,1.63
GC 773,CPD -38°68,3.95
GC 774,CPD -24°86,1.92
GC 775,CPD -39°61,7.85
GC 776,CPD -31°89,4.68
GC 777,CPD -29°84,4.94
GC 778,CPD -50°124,2.24
GC 779,CPD -31°90,11.65
GC 780,CPD -44°107,10.72
GC 781,CPD -50°125,3.53
GC 782,CPD -86°10,2.02
GC 783,CPD -23°102,10.68
GC 784,CPD -23°102,8.94
GC 785,CPD -43°100,6.51
GC 786,CPD -61°43,6.32
GC 787,CPD -27°69,6.25
GC 788,CPD -71°28,9.09
GC 789,CPD -57°179,3.07
GC 790,CPD -24°89,18.09
GC 791,CPD -24°89,16.53
GC 793,CPD -31°92,9.37
GC 794,CPD -33°89,3.82
GC 795,CPD -25°95,1.75
GC 796,CPD -73°50,2.03
GC 797,CPD -52°116,5.65
GC 798,CPD -47°101,2.25
GC 799,CPD -25°96,4.63
GC 800,CPD -25°96,4.12
GC 801,CPD -44°108,3.54
GC 802,CPD -48°104,3.86
GC 803,CPD -51°144,5.43
GC 804,CPD -62°70,3.82
GC 806,CPD -64°84,5.11
GC 808,CPD -39°66,3.12
GC 809,CPD -46°88,0.52
GC 810,CPD -70°37,5.63
GC 811,CPD -70°38,5.94
GC 812,CPD -61°44,12.97
GC 813,CPD -61°44,9.57
GC 814,CPD -30°89,8.34
GC 815,CPD -29°89,3.01
GC 816,CPD -25°97,3.96
GC 817,CPD -25°97,11.89
GC 819,CPD -46°91,6.07
GC 820,CPD -33°90,5.04
GC 821,CPD -42°83,5.44
GC 822,CPD -49°130,4.83
GC 823,CPD -41°86,1.14
GC 824,CPD -55°179,10.49
GC 825,CPD -63°83,3.68
GC 826,CPD -36°94,2.52
GC 827,CPD -58°54,6.35
GC 828,CPD -32°97,13.83
GC 829,CPD -24°93,2.27
GC 830,CPD -34°82,5.70
GC 831,CPD -49°132,7.40
GC 832,CPD -58°55,11.66
GC 833,CPD -75°68,3.17
GC 834,CPD -50°133,6.20
GC 835,CPD -45°96,2.80
GC 836,CPD -25°100,2.12
GC 837,CPD -42°86,3.15
GC 839,CPD -84°16,4.85
GC 841,CPD -45°97,2.13
GC 842,CPD -43°109,2.08
GC 843,CPD -74°72,6.81
GC 844,CPD -48°109,8.08
GC 845,CPD -26°72,7.34
GC 846,CPD -66°69,6.77
GC 847,CPD -66°69,8.28
GC 848,CPD -28°74,5.70
GC 849,CPD -30°90,10.46
GC 850,CPD -41°88,3.02
GC 853,CPD -23°114,2.51
GC 854,CPD -28°75,10.35
GC 855,CPD -68°32,4.93
GC 856,CPD -68°33,5.00
GC 857,CPD -23°115,3.10
GC 858,CPD -27°74,6.77
GC 859,CPD -26°73,1.77
GC 860,CPD -70°40,5.50
GC 861,CPD -53°212,6.68
GC 862,CPD -36°100,12.57
GC 864,CPD -43°110,6.82
GC 865,CPD -24°96,9.16
GC 866,CPD -69°28,8.01
GC 867,CPD -26°74,4.45
GC 868,CPD -39°70,3.04
GC 869,CPD -74°74,4.70
GC 870,CPD -32°99,6.52
GC 871,CPD -55°186,6.27
GC 872,CPD -30°96,4.96
GC 873,CPD -52°124,6.13
GC 874,CPD -47°106,2.57
GC 875,CPD -64°91,3.25
GC 876,CPD -60°59,16.66
GC 877,CPD -37°84,8.08
GC 878,CPD -23°116,5.86
GC 879,CPD -52°125,3.82
GC 880,CPD -19°102,3.13
GC 881,CPD -19°102,3.74
GC 884,CPD -31°102,4.39
GC 885,CPD -41°92,9.28
GC 886,CPD -49°136,2.24
GC 887,CPD -23°117,5.78
GC 888,CPD -48°112,6.74
GC 892,CPD -48°113,6.42
GC 893,CPD -52°127,2.77
GC 894,CPD -74°77,1.39
GC 895,CPD -26°76,9.11
GC 896,CPD -27°76,8.23
GC 897,CPD -44°118,2.44
GC 898,CPD -40°88,10.03
GC 901,CPD -52°130,3.24
GC 902,CPD -30°99,9.22
GC 903,CPD -73°58,3.57
GC 904,CPD -64°95,1.21
GC 905,CPD -49°138,1.61
GC 906,CPD -58°58,8.99
GC 907,CPD -30°101,3.95
GC 908,CPD -67°62,2.46
GC 909,CPD -54°220,3.80
GC 910,CPD -61°50,3.87
GC 911,CPD -51°150,2.85
GC 912,CPD -47°110,2.02
GC 913,CPD -68°35,4.53
GC 914,CPD -36°106,8.76
GC 915,CPD -61°51,3.96
GC 916,CPD -35°99,2.99
GC 917,CPD -25°102,3.54
GC 918,CPD -32°103,13.84
GC 919,CPD -26°78,8.90
GC 920,CPD -77°37,6.36
GC 921,CPD -31°107,3.23
GC 922,CPD -59°64,7.41
GC 923,CPD -22°115,3.19
GC 924,CPD -33°97,1.93
GC 925,CPD -44°122,4.12
GC 926,CPD -50°143,2.85
GC 928,CPD -26°81,1.21
GC 929,CPD -40°90,3.30
GC 930,CPD -26°82,5.45
GC 931,CPD -51°152,2.34
GC 932,CPD -24°100,5.44
GC 933,CPD -36°109,5.55
GC 935,CPD -57°213,5.22
GC 937,CPD -53°228,6.63
GC 938,CPD -67°65,3.20
GC 939,CPD -47°117,6.20
GC 940,CPD -34°91,3.53
GC 942,CPD -28°79,11.97
GC 943,CPD -39°75,9.23
GC 944,CPD -58°64,9.88
GC 945,CPD -24°103,10.43
GC 946,CPD -70°44,3.21
GC 947,CPD -38°84,7.12
GC 948,CPD -76°81,6.69
GC 949,CPD -76°82,6.94
GC 950,CPD -61°58,5.46
GC 951,CPD -32°106,2.52
GC 952,CPD -53°230,2.56
GC 953,CPD -32°108,3.21
