index1,index2,dist
W 961,CD -23°707,28.72
W 964,CD -25°758,7.02
W 967,CD -28°599,34.48
W 970,CD -23°716,26.75
W 971,CD -22°648,17.26
W 974,CD -29°646,18.23
W 976,CD -26°696,20.44
W 977,CD -25°763,16.32
W 978,CD -24°819,8.87
W 980,CD -23°721,14.87
W 981,CD -25°767,7.43
W 982,CD -29°650,32.19
W 983,CD -28°609,40.64
W 986,CD -30°677,13.67
W 987,CD -24°827,11.55
W 988,CD -24°828,24.72
W 991,CD -30°681,17.38
W 992,CD -22°656,33.86
W 993,CD -27°681,32.48
W 994,CD -29°664,20.43
W 995,CD -27°683,8.45
W 998,CD -29°665,12.94
W 999,CD -22°662,10.75
W 1000,CD -25°780,4.98
W 1003,CD -22°665,21.75
W 1004,CD -23°740,20.34
W 1006,CD -24°839,4.06
W 1007,CD -24°840,19.88
W 1009,CD -28°623,3.41
W 1013,CD -28°627,64.46
W 1014,CD -29°676,5.07
W 1015,CD -22°672,7.51
W 1016,CD -26°720,21.81
W 1017,CD -30°697,16.19
W 1018,CD -23°750,34.08
W 1020,CD -25°788,7.98
W 1021,CD -26°721,17.07
W 1024,CD -28°634,35.72
W 1025,CD -24°856,0.92
W 1027,CD -30°704,29.32
W 1029,CD -26°723,26.84
W 1030,CD -24°861,7.23
W 1031,CD -29°690,25.13
W 1034,CD -26°726,23.34
W 1035,CD -24°867,17.03
W 1037,CD -28°643,44.04
W 1038,CD -22°684,5.50
W 1039,CD -30°714,2.50
W 1040,CD -27°713,19.58
W 1042,CD -24°872,14.70
W 1043,CD -30°715,29.62
W 1044,CD -22°687,19.56
W 1045,CD -30°716,21.21
W 1049,CD -25°805,13.97
W 1050,CD -22°691,30.16
W 1051,CD -30°722,22.38
W 1052,CD -22°694,15.84
W 1059,CD -29°706,5.78
W 1061,CD -28°653,12.03
W 1064,CD -23°777,27.61
W 1066,CD -28°656,29.79
W 1067,CD -29°713,30.01
W 1068,CD -24°889,26.59
W 1069,CD -24°891,16.37
W 1072,CD -31°843,12.45
W 1073,CD -22°704,12.04
W 1074,CD -22°705,20.85
W 1075,CD -23°784,30.65
W 1078,CD -29°718,21.32
W 1080,CD -25°821,38.25
W 1081,CD -24°895,13.75
W 1082,CD -28°667,26.66
W 1086,CD -26°759,5.46
W 1088,CD -22°720,9.25
W 1091,CD -29°728,31.45
W 1094,CD -25°828,31.86
W 1097,CD -25°830,39.41
W 1098,CD -28°675,20.81
W 1100,CD -29°738,5.65
W 1103,CD -26°767,34.65
W 1104,CD -29°743,23.40
W 1105,CD -24°913,12.95
W 1106,CD -24°915,14.49
W 1107,CD -23°799,56.15
W 1108,CD -28°681,8.02
W 1109,CD -24°918,25.21
W 1114,CD -29°751,71.34
W 1116,CD -24°921,11.09
W 1117,CD -29°752,9.89
W 1118,CD -25°841,51.34
W 1119,CD -29°753,23.23
W 1122,CD -27°745,4.66
W 1124,CD -28°691,12.03
W 1127,CD -25°846,2.13
W 1131,CD -27°752,6.86
W 1133,CD -30°766,16.97
W 1135,CD -25°847,7.58
W 1136,CD -29°761,9.07
W 1137,CD -24°946,12.06
W 1141,CD -29°767,11.24
W 1143,CD -28°698,20.28
W 1145,CD -27°760,21.89
W 1148,CD -25°854,5.53
W 1149,CD -31°882,3.39
W 1150,CD -31°879,230.93
W 1151,CD -23°822,11.47
W 1152,CD -22°754,10.57
W 1153,CD -29°785,10.26
W 1154,CD -29°784,8.27
W 1156,CD -25°856,4.29
W 1163,CD -28°712,23.16
W 1164,CD -24°980,15.14
W 1167,CD -29°803,3.68
W 1168,CD -23°840,12.12
W 1169,CD -26°814,29.52
W 1173,CD -23°845,26.08
W 1176,CD -27°780,15.40
W 1178,CD -23°850,17.97
W 1179,CD -29°805,13.80
W 1181,CD -23°852,3.00
W 1182,CD -29°807,23.20
W 1185,CD -23°854,26.15
W 1188,CD -25°883,7.64
W 1191,CD -22°774,5.55
W 1195,CD -29°819,5.27
W 1196,CD -24°1008,14.48
W 1197,CD -23°863,54.61
W 1198,CD -28°729,18.13
W 1199,CD -25°890,15.75
W 1203,CD -30°815,31.95
W 1205,CD -26°828,38.59
W 1207,CD -29°825,5.99
W 1210,CD -25°899,14.79
W 1212,CD -24°1021,29.93
W 1216,CD -24°1022,16.86
W 1217,CD -24°1023,28.31
W 1220,CD -22°787,31.04
W 1222,CD -27°811,22.72
W 1223,CD -29°837,66.20
W 1224,CD -30°828,9.61
W 1229,CD -30°834,10.22
W 1230,CD -29°840,17.35
W 1233,CD -25°912,4.67
W 1235,CD -30°839,14.91
W 1238,CD -22°793,29.47
W 1239,CD -28°752,14.84
W 1240,CD -29°845,15.35
W 1241,CD -25°916,14.47
W 1242,CD -26°848,13.49
W 1244,CD -24°1038,21.26
W 1245,CD -26°849,14.55
W 1249,CD -30°850,16.87
W 1250,CD -29°855,23.76
W 1251,CD -27°827,15.46
W 1252,CD -22°799,28.66
W 1254,CD -25°926,58.67
W 1256,CD -29°858,20.81
W 1258,CD -29°859,27.88
W 1259,CD -25°934,45.17
W 1260,CD -26°857,20.62
W 1262,CD -29°864,23.41
W 1263,CD -30°862,21.20
W 1264,CD -22°811,27.32
W 1265,CD -26°863,45.81
W 1267,CD -24°1074,23.27
W 1269,CD -30°864,29.38
W 1271,CD -27°839,6.66
W 1272,CD -24°1076,2.59
W 1273,CD -26°865,9.94
W 1274,CD -29°873,39.70
W 1276,CD -24°1081,27.09
W 1280,CD -29°880,11.73
W 1283,CD -23°918,8.83
W 1285,CD -29°884,12.11
W 1286,CD -27°852,5.01
W 1287,CD -25°960,12.69
W 1288,CD -28°784,32.91
