index1,index2,dist
67G Cap,CPD -27°7177,12.23
eta Cap,CPD -20°8089,17.91
71G Cap,CPD -20°8102,8.22
72G Cap,CPD -23°7916,12.08
A Cap,CPD -25°7239,6.15
74G Cap,CPD -19°8005,2.83
chi Cap,CPD -21°7888,8.36
26 Cap,CPD -20°8112,12.63
27 Cap,CPD -21°7892,18.05
phi Cap,CPD -21°7922,10.32
83G Cap,CPD -20°8138,8.21
84G Cap,CPD -27°7243,8.95
85G Cap,CPD -26°7193,19.20
87G Cap,CPD -23°7962,11.03
88G Cap,CPD -25°7297,7.24
89G Cap,CPD -23°7964,7.29
33 Cap,CPD -21°7939,6.62
91G Cap,CPD -24°7204,6.15
92G Cap,CPD -24°7212,10.16
zeta Cap,CPD -22°8026,6.91
35 Cap,CPD -21°7944,11.15
b Cap,CPD -22°8029,6.00
100G Cap,CPD -19°8058,1.41
102G Cap,CPD -19°8062,6.16
103G Cap,CPD -25°7332,12.67
37 Cap,CPD -20°8172,2.81
38 Cap,CPD -20°8173,6.62
107G Cap,CPD -24°7236,6.60
epsilon Cap,CPD -20°8185,9.25
41 Cap,CPD -23°8020,9.61
kappa Cap,CPD -19°8092,19.34
114G Cap,CPD -20°8200,7.04
127G Cap,CPD -23°8039,10.19
128G Cap,CPD -19°8112,6.64
134G Cap,CPD -21°8023,1.39
1G Car,CPD -51°869,7.06
2G Car,CPD -52°902,5.46
3G Car,CPD -53°1056,5.35
4G Car,CPD -51°898,6.63
5G Car,CPD -53°1070,9.87
6G Car,CPD -52°913,7.04
alpha Car,CPD -52°914,15.76
8G Car,CPD -52°919,5.45
9G Car,CPD -51°929,6.62
10G Car,CPD -52°947,2.76
N Car,CPD -52°953,6.59
12G Car,CPD -54°1096,3.48
13G Car,CPD -54°1097,6.94
14G Car,CPD -52°998,6.07
15G Car,CPD -51°992,10.36
16G Car,CPD -54°1115,9.19
O Car,CPD -55°1063,1.70
A Car,CPD -53°1168,9.33
19G Car,CPD -53°1177,6.56
20G Car,CPD -59°716,6.00
21G Car,CPD -55°1116,11.03
22G Car,CPD -56°1211,4.17
23G Car,CPD -51°1043,3.76
24G Car,CPD -58°820,3.89
25G Car,CPD -52°1066,7.04
26G Car,CPD -58°826,6.43
27G Car,CPD -56°1232,15.71
P Car,CPD -51°1079,14.31
29G Car,CPD -52°1084,6.07
30G Car,CPD -59°771,0.00
31G Car,CPD -55°1185,8.40
32G Car,CPD -57°1165,7.72
33G Car,CPD -53°1284,4.47
34G Car,CPD -62°789,6.00
35G Car,CPD -52°1123,12.00
36G Car,CPD -58°885,6.00
37G Car,CPD -57°1189,6.05
38G Car,CPD -52°1153,6.00
39G Car,CPD -52°1153,11.00
40G Car,CPD -51°1157,10.27
41G Car,CPD -56°1313,6.23
42G Car,CPD -61°814,3.55
43G Car,CPD -58°909,0.00
45G Car,CPD -51°1191,8.24
46G Car,CPD -57°1236,0.80
47G Car,CPD -52°1198,6.60
48G Car,CPD -54°1294,10.55
49G Car,CPD -51°1232,2.82
Q Car,CPD -52°1231,6.07
51G Car,CPD -55°1282,6.89
52G Car,CPD -52°1242,8.08
53G Car,CPD -54°1348,9.89
54G Car,CPD -54°1356,6.06
55G Car,CPD -58°967,6.00
56G Car,CPD -57°1305,6.79
57G Car,CPD -56°1420,5.81
