index1,index2,dist
GI 356,CD -71°30,20.76
GI 359,CD -81°19,8.15
GI 360,CD -76°28,25.70
GI 361,CD -74°27,14.96
GI 362,CD -66°33,9.77
GI 363,CD -66°34,15.99
GI 364,CD -68°28,23.67
GI 365,CD -65°29,13.03
GI 366,CD -74°28,8.01
GI 367,CD -86°3,1.99
GI 368,CD -66°35,8.95
GI 369,CD -66°36,12.89
GI 370,CD -83°6,1.58
GI 371,CD -85°5,6.16
GI 372,CD -84°8,7.74
GI 373,CD -70°33,22.95
GI 374,CD -83°7,2.39
GI 375,CD -69°29,14.54
GI 376,CD -65°32,21.81
GI 377,CD -70°34,15.80
GI 378,CD -78°24,24.92
GI 379,CD -67°36,2.83
GI 380,CD -66°37,20.32
GI 381,CD -74°29,15.32
GI 382,CD -87°2,5.53
GI 384,CD -69°30,5.82
GI 385,CD -66°38,11.59
GI 386,CD -73°29,28.70
GI 387,CD -74°30,8.42
GI 388,CD -71°32,15.42
GI 389,CD -74°31,9.65
GI 390,CD -72°37,21.49
GI 391,CD -84°9,5.34
GI 392,CD -86°4,2.17
GI 393,CD -84°10,4.37
GI 394,CD -81°20,3.46
GI 395,CD -73°30,15.91
GI 396,CD -65°35,11.94
GI 397,CD -68°29,4.88
GI 398,CD -78°25,4.65
GI 399,CD -86°5,7.17
GI 401,CD -72°38,1.29
GI 402,CD -74°33,13.60
GI 403,CD -75°21,16.60
GI 404,CD -85°6,4.56
GI 405,CD -82°12,4.62
GI 406,CD -71°35,18.88
GI 407,CD -76°30,14.09
GI 408,CD -69°31,7.84
GI 409,CD -74°34,10.44
GI 410,CD -72°39,2.34
GI 411,CD -73°31,15.04
GI 412,CD -80°22,37.57
GI 413,CD -80°23,8.81
GI 414,CD -70°35,19.75
GI 415,CD -77°25,7.21
GI 416,CD -79°24,16.56
GI 417,CD -68°30,10.46
GI 418,CD -75°22,13.44
GI 419,CD -77°26,11.13
GI 420,CD -76°31,13.46
GI 421,CD -66°39,34.19
GI 422,CD -65°36,13.86
GI 423,CD -82°13,6.04
GI 424,CD -68°31,20.18
GI 425,CD -66°40,5.04
GI 426,CD -70°36,11.86
GI 427,CD -68°32,13.36
GI 428,CD -66°41,6.99
GI 429,CD -65°37,17.52
GI 430,CD -69°33,4.31
GI 431,CD -75°23,15.65
GI 432,CD -68°33,91.59
GI 433,CD -78°28,14.28
GI 434,CD -80°24,13.75
GI 435,CD -74°38,27.95
GI 436,CD -70°37,23.44
GI 437,CD -72°41,20.81
GI 439,CD -75°24,31.34
GI 440,CD -78°29,10.82
GI 441,CD -72°42,6.28
GI 442,CD -80°25,5.11
GI 443,CD -73°34,15.20
GI 444,CD -71°36,18.29
GI 445,CD -66°43,20.94
GI 446,CD -84°11,4.83
GI 447,CD -83°8,6.81
GI 448,CD -66°44,28.17
GI 449,CD -71°38,18.99
GI 450,CD -73°35,32.80
GI 451,CD -79°29,15.89
GI 452,CD -68°34,19.25
GI 453,CD -84°12,5.86
GI 454,CD -84°13,8.44
GI 455,CD -86°6,2.68
GI 456,CD -70°38,10.96
GI 457,CD -71°39,9.59
GI 458,CD -70°39,15.40
GI 459,CD -67°39,11.58
GI 460,CD -77°28,8.07
GI 461,CD -75°25,9.78
GI 462,CD -79°30,18.75
GI 463,CD -79°31,5.41
GI 464,CD -86°7,4.22
GI 465,CD -66°45,17.05
GI 466,CD -73°37,13.00
GI 467,CD -66°46,14.14
GI 468,CD -75°26,9.90
GI 469,CD -71°41,3.81
GI 470,CD -66°47,21.27
GI 471,CD -69°36,14.59
GI 472,CD -70°40,12.34
GI 473,CD -67°40,28.86
GI 474,CD -74°40,8.52
GI 475,CD -66°48,23.39
GI 476,CD -66°48,9.73
GI 477,CD -81°22,15.88
GI 478,CD -74°42,318.43
GI 479,CD -83°9,0.80
GI 480,CD -77°29,2.51
GI 482,CD -68°35,5.82
GI 483,CD -68°36,5.72
GI 484,CD -83°10,2.44
GI 485,CD -84°14,9.06
GI 486,CD -70°42,31.38
GI 488,CD -69°37,21.59
GI 489,CD -84°15,7.50
GI 490,CD -65°40,14.14
GI 491,CD -74°42,8.14
GI 492,CD -78°30,9.46
GI 493,CD -79°33,6.35
GI 496,CD -72°45,21.79
GI 497,CD -70°43,37.06
GI 498,CD -69°38,3.54
GI 499,CD -81°23,20.46
GI 500,CD -73°38,4.67
GI 501,CD -74°45,5.95
GI 502,CD -85°7,6.31
GI 503,CD -85°8,0.73
GI 504,CD -81°24,4.08
GI 505,CD -66°49,21.10
GI 506,CD -68°37,9.56
GI 508,CD -70°44,13.35
GI 509,CD -73°41,20.85
GI 510,CD -74°46,16.89
GI 511,CD -76°33,30.37
GI 512,CD -66°50,12.47
GI 513,CD -67°42,11.50
GI 514,CD -77°30,38.13
GI 515,CD -68°38,8.90
GI 517,CD -71°42,9.16
GI 518,CD -71°44,3.02
GI 519,CD -75°27,10.44
GI 520,CD -77°31,10.70
GI 521,CD -81°25,3.91
GI 522,CD -83°11,2.10
GI 523,CD -78°32,11.64
GI 524,CD -68°39,8.82
GI 525,CD -83°12,1.34
GI 526,CD -67°43,32.76
GI 527,CD -69°39,5.56
GI 528,CD -74°47,11.99
GI 529,CD -82°14,4.55
GI 530,CD -83°13,5.61
GI 531,CD -70°45,10.43
GI 532,CD -70°46,31.63
GI 533,CD -68°41,1.35
GI 535,CD -78°34,9.93
GI 536,CD -76°34,19.34
GI 537,CD -69°40,11.74
GI 538,CD -76°35,15.56
GI 539,CD -70°47,8.16
GI 540,CD -76°36,19.75
GI 541,CD -69°41,9.89
GI 542,CD -73°42,16.70
GI 543,CD -75°28,7.64
GI 544,CD -79°34,12.79
GI 545,CD -76°37,20.75
GI 546,CD -66°51,14.39
GI 547,CD -72°47,14.25
GI 548,CD -66°52,8.37
GI 549,CD -69°41,252.31
GI 551,CD -72°48,15.19
GI 552,CD -76°38,4.60
GI 553,CD -75°29,25.03
GI 554,CD -66°53,13.08
GI 555,CD -85°9,12.17
GI 556,CD -77°35,16.23
GI 557,CD -71°45,10.15
GI 558,CD -68°43,13.21
GI 559,CD -68°44,31.68
GI 560,CD -76°39,9.11
GI 561,CD -72°49,42.16
GI 563,CD -77°36,16.27
GI 564,CD -65°49,7.02
GI 565,CD -73°43,26.01
GI 566,CD -69°42,28.42
GI 567,CD -66°54,18.63
GI 568,CD -78°36,16.46
GI 569,CD -87°3,2.17
GI 570,CD -83°14,1.25
GI 571,CD -74°51,7.76
GI 572,CD -71°47,23.88
GI 573,CD -72°50,12.52
GI 574,CD -84°16,2.69
GI 575,CD -73°44,15.62
GI 576,CD -67°45,34.71
GI 577,CD -66°55,17.67
GI 578,CD -72°52,43.95
GI 579,CD -71°48,12.88
GI 580,CD -79°39,1.93
GI 581,CD -73°45,9.86
GI 582,CD -70°50,22.60
GI 583,CD -66°56,37.38
GI 584,CD -68°45,6.00
GI 585,CD -79°40,13.88
GI 586,CD -77°38,22.32
GI 587,CD -66°57,7.64
GI 588,CD -78°37,2.08
GI 589,CD -71°50,31.33
GI 590,CD -69°43,26.05
GI 591,CD -68°46,13.94
GI 592,CD -84°17,4.67
GI 593,CD -78°38,13.11
GI 595,CD -83°15,5.71
GI 596,CD -76°41,11.42
GI 597,CD -75°32,14.15
GI 598,CD -81°27,7.22
GI 599,CD -74°54,22.63
GI 600,CD -74°53,26.53
GI 601,CD -82°15,4.07
GI 602,CD -70°51,25.34
GI 602,CD -70°51,33.65
GI 603,CD -80°28,12.85
GI 604,CD -79°41,16.40
GI 605,CD -73°46,10.41
GI 606,CD -71°51,6.15
GI 607,CD -67°47,10.54
GI 608,CD -83°16,2.13
GI 609,CD -79°42,27.72
GI 610,CD -77°39,4.34
GI 611,CD -70°52,34.05
GI 612,CD -72°53,22.83
GI 613,CD -69°46,22.09
GI 614,CD -71°53,14.42
GI 615,CD -67°48,5.69
GI 616,CD -69°47,10.43
GI 617,CD -79°43,37.31
GI 618,CD -69°49,28.80
GI 619,CD -78°40,8.39
GI 620,CD -71°54,23.00
GI 621,CD -68°47,19.90
GI 622,CD -70°53,251.04
GI 623,CD -77°40,11.14
GI 624,CD -66°59,14.35
GI 625,CD -81°28,19.24
GI 626,CD -70°53,12.75
GI 627,CD -67°50,34.79
GI 628,CD -66°60,41.83
GI 629,CD -73°48,5.55
GI 630,CD -73°48,10.47
GI 631,CD -74°55,12.53
GI 632,CD -82°16,3.94
GI 633,CD -70°54,19.72
GI 634,CD -68°49,14.35
GI 635,CD -79°44,11.76
GI 636,CD -84°18,2.47
GI 637,CD -71°56,22.29
GI 638,CD -79°45,2.82
GI 639,CD -73°51,2.66
GI 640,CD -72°54,11.01
GI 641,CD -77°42,16.22
GI 642,CD -78°41,7.54
GI 643,CD -70°55,19.76
GI 644,CD -82°18,6.21
GI 645,CD -83°17,5.70
GI 646,CD -74°56,12.84
GI 647,CD -66°61,15.09
GI 648,CD -65°58,43.23
GI 649,CD -79°47,2.50
GI 650,CD -82°19,2.62
GI 651,CD -71°58,9.34
GI 652,CD -76°44,24.56
GI 653,CD -75°33,19.84
GI 654,CD -74°57,14.64
GI 655,CD -75°34,11.74
GI 656,CD -71°60,21.65
GI 657,CD -75°35,31.75
GI 658,CD -67°52,11.17
GI 659,CD -82°20,12.22
GI 660,CD -71°62,1.97
GI 661,CD -82°21,5.21
GI 662,CD -69°51,20.85
GI 663,CD -86°8,15.12
GI 664,CD -71°59,12.48
GI 665,CD -80°32,12.30
GI 666,CD -66°63,6.52
GI 667,CD -79°49,13.68
GI 668,CD -75°36,4.72
GI 669,CD -83°18,4.65
GI 670,CD -69°52,17.06
GI 671,CD -69°52,17.49
GI 672,CD -73°53,15.30
GI 673,CD -69°53,12.11
GI 674,CD -68°50,4.19
GI 676,CD -89°2,3.42
GI 677,CD -83°19,10.22
GI 678,CD -66°64,9.45
GI 679,CD -70°56,18.53
GI 680,CD -67°54,12.22
GI 681,CD -67°54,12.82
GI 682,CD -67°55,25.66
GI 683,CD -65°62,15.48
GI 684,CD -81°33,12.32
GI 685,CD -76°46,6.17
GI 686,CD -67°56,13.70
GI 687,CD -70°57,16.57
GI 688,CD -67°57,11.43
GI 689,CD -66°65,19.72
GI 690,CD -85°10,3.17
GI 691,CD -79°51,8.19
GI 692,CD -69°54,6.67
GI 693,CD -67°58,4.76
GI 694,CD -83°20,2.69
GI 695,CD -73°54,18.39
GI 697,CD -80°34,23.00
GI 698,CD -74°60,19.21
GI 699,CD -73°55,15.41
GI 700,CD -75°39,18.06
GI 701,CD -67°59,14.84
GI 702,CD -71°64,13.42
GI 703,CD -76°47,3.24
GI 704,CD -66°66,4.65
GI 705,CD -68°52,7.06
GI 706,CD -69°55,26.77
GI 707,CD -70°58,27.62
GI 708,CD -80°35,9.30
GI 711,CD -72°60,36.89
GI 712,CD -68°53,4.88
GI 713,CD -72°61,14.07
GI 714,CD -75°40,2.90
GI 715,CD -66°67,11.02
GI 716,CD -80°36,14.55
GI 717,CD -77°43,18.74
GI 718,CD -73°56,20.17
GI 719,CD -76°48,9.67
GI 720,CD -67°61,33.10
GI 721,CD -81°35,18.02
GI 722,CD -82°22,6.66
GI 723,CD -67°62,12.35
GI 724,CD -87°4,3.88
GI 725,CD -75°41,16.98
GI 726,CD -81°36,11.02
GI 728,CD -83°21,7.11
GI 729,CD -72°62,3.65
GI 730,CD -73°57,21.44
GI 731,CD -70°60,5.98
GI 732,CD -70°61,7.99
GI 733,CD -73°58,10.12
GI 734,CD -76°50,8.68
GI 735,CD -81°37,7.05
GI 736,CD -80°37,12.46
GI 737,CD -70°62,18.07
GI 738,CD -66°69,42.73
GI 739,CD -74°63,15.62
GI 740,CD -79°53,10.63
GI 741,CD -74°64,14.75
GI 742,CD -72°63,6.58
GI 743,CD -86°9,8.74
GI 744,CD -69°57,8.99
GI 745,CD -66°70,31.44
GI 746,CD -81°38,5.64
GI 747,CD -66°71,66.61
GI 748,CD -67°63,25.65
GI 749,CD -67°64,58.91
GI 750,CD -68°54,8.79
GI 751,CD -69°58,7.95
GI 752,CD -68°55,12.68
GI 753,CD -76°51,6.20
GI 754,CD -68°56,16.83
GI 755,CD -66°72,24.72
GI 756,CD -75°42,22.64
GI 757,CD -74°65,19.96
GI 758,CD -73°59,8.86
GI 759,CD -69°59,14.61
GI 760,CD -72°64,25.15
GI 761,CD -71°66,21.87
GI 762,CD -72°65,24.43
GI 763,CD -66°73,40.37
GI 764,CD -72°66,28.55
GI 765,CD -67°65,10.54
GI 766,CD -70°63,5.62
GI 767,CD -81°40,18.19
GI 767,CD -81°40,17.35
GI 768,CD -66°74,11.88
GI 769,CD -75°44,12.18
GI 770,CD -77°45,14.03
GI 771,CD -68°57,6.46
GI 772,CD -70°65,22.76
GI 773,CD -66°75,14.53
GI 774,CD -70°66,14.87
GI 775,CD -72°67,17.02
GI 776,CD -87°5,1.64
GI 777,CD -68°58,8.27
GI 778,CD -73°60,8.52
GI 779,CD -84°19,2.35
GI 780,CD -71°67,9.69
GI 781,CD -67°66,13.60
GI 782,CD -78°47,10.74
GI 783,CD -75°45,12.17
GI 784,CD -79°54,19.89
GI 785,CD -73°61,16.88
GI 786,CD -71°70,20.30
GI 787,CD -72°68,15.97
GI 788,CD -68°60,16.71
GI 789,CD -80°44,10.54
GI 790,CD -70°67,40.04
GI 791,CD -73°62,8.32
GI 792,CD -68°61,11.78
GI 793,CD -80°45,17.88
GI 794,CD -68°62,12.80
GI 795,CD -72°69,10.19
GI 796,CD -75°47,3.78
GI 798,CD -76°54,15.39
GI 799,CD -72°70,7.70
GI 800,CD -74°68,20.47
GI 801,CD -81°41,3.34
GI 802,CD -65°70,18.76
GI 803,CD -87°6,5.37
GI 804,CD -76°55,16.75
GI 805,CD -65°71,16.26
GI 807,CD -67°68,6.43
GI 808,CD -67°69,23.51
GI 809,CD -77°47,23.34
GI 810,CD -66°76,18.21
GI 811,CD -81°42,8.05
GI 812,CD -79°57,12.90
GI 813,CD -73°64,0.83
GI 814,CD -71°71,0.96
GI 815,CD -69°62,1.39
GI 816,CD -70°69,20.88
GI 817,CD -79°59,30.25
GI 818,CD -71°72,7.13
GI 819,CD -75°48,11.87
GI 820,CD -74°69,17.66
GI 821,CD -86°10,2.90
GI 822,CD -85°11,5.28
GI 823,CD -72°71,13.73
GI 824,CD -69°63,30.85
GI 825,CD -69°64,12.36
GI 826,CD -68°63,16.17
GI 827,CD -75°49,12.61
GI 828,CD -76°56,6.79
GI 829,CD -89°3,2.45
GI 830,CD -67°72,5.13
GI 831,CD -68°64,7.93
GI 832,CD -77°48,18.67
GI 833,CD -74°71,18.94
GI 834,CD -80°48,17.85
GI 835,CD -68°65,10.06
GI 836,CD -70°70,35.14
GI 837,CD -71°73,1.24
GI 838,CD -69°65,18.65
GI 839,CD -69°66,4.03
GI 840,CD -77°50,21.42
GI 841,CD -65°75,22.54
GI 842,CD -69°67,3.13
GI 843,CD -74°72,3.88
GI 844,CD -74°73,12.87
GI 845,CD -81°43,5.85
GI 846,CD -79°61,12.65
GI 847,CD -78°49,8.64
GI 848,CD -82°23,7.54
GI 849,CD -67°75,5.29
GI 850,CD -69°69,24.89
GI 851,CD -82°23,4.75
GI 852,CD -66°77,16.74
GI 853,CD -69°69,15.19
GI 854,CD -67°76,16.96
GI 855,CD -65°76,15.55
GI 856,CD -82°24,12.21
GI 857,CD -82°25,6.14
GI 858,CD -67°77,12.96
GI 859,CD -75°51,10.38
GI 860,CD -68°66,21.84
GI 861,CD -70°71,18.50
GI 862,CD -76°57,14.93
GI 863,CD -73°65,23.80
GI 864,CD -75°52,11.58
GI 865,CD -82°23,242.56
GI 866,CD -76°58,24.31
GI 867,CD -73°66,20.84
GI 868,CD -79°63,12.86
GI 869,CD -70°72,26.23
GI 870,CD -67°79,11.27
GI 871,CD -66°78,14.78
GI 872,CD -70°73,17.69
GI 873,CD -79°64,21.18
GI 875,CD -70°74,39.05
GI 876,CD -80°50,3.67
GI 877,CD -67°80,12.17
GI 881,CD -75°53,8.09
GI 882,CD -68°67,22.98
GI 883,CD -66°79,30.34
GI 884,CD -81°45,8.56
GI 885,CD -79°65,14.65
GI 886,CD -86°11,2.11
GI 887,CD -68°68,12.72
GI 888,CD -77°54,2.01
GI 889,CD -68°69,6.63
GI 890,CD -68°69,268.71
GI 891,CD -76°59,12.97
GI 892,CD -71°75,190.70
GI 893,CD -68°70,3.51
GI 894,CD -68°73,18.23
GI 895,CD -69°71,15.32
GI 896,CD -73°68,20.26
GI 897,CD -67°81,7.24
GI 898,CD -72°75,46.41
GI 899,CD -74°75,54.55
GI 900,CD -68°72,4.04
GI 901,CD -67°83,2.71
GI 902,CD -82°26,4.26
GI 904,CD -70°77,27.45
GI 905,CD -74°75,7.79
GI 907,CD -82°27,9.53
GI 908,CD -68°74,13.22
GI 909,CD -77°56,1.93
GI 910,CD -67°84,19.12
GI 911,CD -66°81,20.60
